EUBWID,label,samplePointID,yearDesignated,yearDedesignated,district,county,country,easting,northing,lat,long,seasonStartDate,seasonFinishDate,pollutionRiskForecasting,appointedSewerageUndertaker,stepChange,stepChangeDate
ukd1102-44300,Walney Sandy Gap,44300,1988,"",Barrow-in-Furness,Cumbria,England,317500,468100,54.1021569927356,-3.26318566673305,2023-05-01,2023-09-30,false,United Utilities Water Limited,"Step Change in water quality from 30/04/2013, due to improvements made to Water plc assets.",2013-04-30
ukd1102-44400,Walney West Shore,44400,1988,"",Barrow-in-Furness,Cumbria,England,316984,470183,54.120782261168,-3.2716311703482,2023-05-01,2023-09-30,false,United Utilities Water Limited,"Step Change in water quality from 30/04/2013, due to improvements made to Water plc assets.",2013-04-30
ukd1103-44800,Haverigg,44800,1988,"",Copeland,Cumbria,England,316000,477800,54.1890700507472,-3.28882375455891,2023-05-01,2023-09-30,true,United Utilities Water Limited,"Step Change in water quality from 30/04/2015, due to improvements made to Water plc assets.",2015-04-30
ukd1103-45200,Silecroft,45200,1988,"",Copeland,Cumbria,England,312000,481200,54.218947055813,-3.35110251563719,2023-05-01,2023-09-30,false,United Utilities Water Limited,"",""
ukd1103-45600,Seascale,45600,1988,"",Copeland,Cumbria,England,303400,501000,54.3952825742987,-3.48935798634343,2023-05-01,2023-09-30,false,United Utilities Water Limited,"",""
ukd1103-45920,St Bees,45920,1988,"",Copeland,Cumbria,England,295900,511700,54.4899256268899,-3.60858868965697,2023-05-01,2023-09-30,true,United Utilities Water Limited,"",""
ukd1203-45625,"Windermere, Lakeside YMCA",45625,1998,"",South Lakeland,Cumbria,England,337528,489847,54.30039495081625,-2.9614629622469,2023-05-01,2023-09-30,false,United Utilities Water Limited,"",""
ukd1203-45650,"Windermere, Millerground Landing",45650,1998,"",South Lakeland,Cumbria,England,340178,498749,54.3807,-2.9225,2023-05-01,2023-09-30,false,United Utilities Water Limited,"",""
ukd1203-45675,"Windermere, Rayrigg Meadow",45675,2015,"",South Lakeland,Cumbria,England,340177,498465,54.3781537315643,-2.92249644240972,2023-05-01,2023-09-30,false,United Utilities Water Limited,"",""
ukd1203-45700,"Windermere, Fellfoot",45700,1998,"",South Lakeland,Cumbria,England,337990,486960,54.274516938995,-2.95378173858218,2023-05-01,2023-09-30,false,United Utilities Water Limited,"",""
ukd4200-42100,Blackpool South,42100,1988,"",Blackpool,"",England,330326,433222,53.7906362899484,-3.05910494392652,2023-05-01,2023-09-30,true,United Utilities Water Limited,"Step Change in water quality from 05/05/2014, due to improvements made to Water plc assets.",2014-05-05
ukd4200-42300,Blackpool Central,42300,1988,"",Blackpool,"",England,330536,434556,53.8026522997753,-3.05621915051379,2023-05-01,2023-09-30,true,United Utilities Water Limited,"",""
ukd4200-42500,Blackpool North,42500,1988,"",Blackpool,"",England,330534,436055,53.8161226569306,-3.05658832625312,2023-05-01,2023-09-30,true,United Utilities Water Limited,"Step Change in water quality from 30/04/2015, due to improvements made to Water plc assets.",2015-04-30
ukd4200-42600,Bispham,42600,1988,"",Blackpool,"",England,330700,439700,53.8489001908846,-3.05489054230437,2023-05-01,2023-09-30,true,United Utilities Water Limited,"",""
ukd4312-42800,Cleveleys,42800,1988,"",Wyre,Lancashire,England,331200,443300,53.8813176293953,-3.04810034853083,2023-05-01,2023-09-30,true,United Utilities Water Limited,"",""
ukd5300-41300,Ainsdale,41300,1988,"",Sefton,"",England,329700,412900,53.6079274110244,-3.06398779831433,2023-05-01,2023-09-30,true,United Utilities Water Limited,"",""
uke1200-07900,Flamborough South Landing,07900,1988,"",East Riding of Yorkshire,"",England,523124,469230,54.1042408129957,-0.118418582181931,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
uke1200-07950,"Danes Dyke, Flamborough",07950,1999,"",East Riding of Yorkshire,"",England,521592,469167,54.1040387873291,-0.141861015595605,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
uke1200-08000,Bridlington North Beach,08000,1988,"",East Riding of Yorkshire,"",England,518972,467175,54.0867564390065,-0.182691651026087,2023-05-01,2023-09-30,true,Yorkshire Water Services Limited,"Step Change in water quality from 31/03/2014, due to improvements made to Water plc assets.",2014-03-31
uke1200-08100,Bridlington South Beach,08100,1988,"",East Riding of Yorkshire,"",England,517948,466087,54.0772086100535,-0.1987449454745,2023-05-01,2023-09-30,true,Yorkshire Water Services Limited,"Step Change in water quality from 31/03/2014, due to improvements made to Water plc assets.",2014-03-31
uke1200-08200,Wilsthorpe,08200,1988,"",East Riding of Yorkshire,"",England,517407,464850,54.0662199286341,-0.207488045320685,2023-05-01,2023-09-30,true,Yorkshire Water Services Limited,"",""
uke1200-08300,Fraisthorpe,08300,1988,"",East Riding of Yorkshire,"",England,517030,462873,54.048555376331,-0.214023770608408,2023-05-01,2023-09-30,true,Yorkshire Water Services Limited,"",""
uke1200-08600,Skipsea,08600,1988,"",East Riding of Yorkshire,"",England,518837,453277,53.9619402767489,-0.190183487177237,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
uke1200-08700,Hornsea,08700,1988,"",East Riding of Yorkshire,"",England,520923,448005,53.9140984449623,-0.160491171265782,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
uke1200-08800,Tunstall,08800,1988,2023,East Riding of Yorkshire,"",England,531960,431028,53.7589043022308,0.000169098125633,2022-05-01,2022-09-30,false,Yorkshire Water Services Limited,"",""
uke1200-08900,Withernsea,08900,1988,"",East Riding of Yorkshire,"",England,534413,427970,53.7308197034631,0.0360078045744803,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
uke1301-09000,Cleethorpes,09000,1988,"",North East Lincolnshire,"",England,531109,408508,53.5568266201182,-0.022225056616119,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
uke1301-09020,Humberston Fitties,09020,2011,"",North East Lincolnshire,"",England,533204,406158,53.5351901275229,0.008380462066923,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
uke2206-07500,Cayton Bay,07500,1988,"",Scarborough,"",England,506775,484468,54.2447830381406,-0.362946553116245,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
uke4100-08901,"Wharfe at Cromwheel, Ilkley",08901,2021,"",Bradford,"",England,412167,448432,53.9319,-1.8162,2023-05-01,2023-09-30,false,Yorkshire Water Services Limited,"",""
ukf1400-09750,Colwick Country Park (West Lake),09750,2013,"",City of Nottingham,"",England,460698,339020,52.9451435484652,-1.09815737913614,2023-05-01,2023-09-30,false,Severn Trent Water Limited,"",""
ukf2208-09701,Rutland Water Whitwell Creek,09701,2023,"",Rutland,"",England,492540,308356,52.665031,-0.633086,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf2208-09702,Rutland Water Sykes Lane,09702,2023,"",Rutland,"",England,493892,308177,52.66319,-0.613152,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf3102-09100,Mablethorpe Town,09100,1988,"",East Lindsey,Lincolnshire,England,550842,385416,53.3441337592485,0.264365936524175,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf3102-09200,Sutton-on-Sea,09200,1988,"",East Lindsey,Lincolnshire,England,552242,382171,53.3145880700532,0.283819713023732,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf3102-09300,Moggs Eye,09300,1988,"",Lincolnshire,"",England,554698,377620,53.273002875866,0.318438394444607,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf3102-09400,Anderby,09400,1988,"",Lincolnshire,"",England,555218,376164,53.2597742443608,0.325519540952037,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf3102-09500,Chapel St Leonards,09500,1988,"",Chapel St. Leonards,Lincolnshire,England,556313,372177,53.2236446994753,0.339965691745724,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukf3102-09600,Ingoldmells South,09600,1988,"",East Lindsey,Lincolnshire,England,557350,368900,53.19393,0.35387,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukf3102-09700,Skegness,09700,1988,"",East Lindsey,Lincolnshire,England,557243,363356,53.1441464100115,0.349547789114293,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1303-10325,Hemsby,10325,1991,"",Great Yarmouth,Norfolk,England,650793,317301,52.6952681733587,1.71007376962362,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1303-10350,Caister Point,10350,1991,"",Great Yarmouth,Norfolk,England,652922,311945,52.6462329700534,1.73740119135091,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1303-10400,Great Yarmouth North,10400,1988,"",Great Yarmouth,Norfolk,England,653361,310410,52.6322585809523,1.74269873146586,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1303-10500,Great Yarmouth Pier,10500,1988,"",Great Yarmouth,Norfolk,England,653300,307400,52.6052855908066,1.73949475736344,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1303-10600,Great Yarmouth South,10600,1988,"",Great Yarmouth,Norfolk,England,653300,306400,52.5963149719545,1.73872991605364,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1303-10650,Gorleston Beach,10650,1991,"",Great Yarmouth,Norfolk,England,653096,303434,52.5697918425,1.73347417364,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1304-09800,Heacham,09800,1988,"",King's Lynn and West Norfolk,"",England,566300,337500,52.9092042364551,0.47149809252374,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh1304-09850,Hunstanton Main Beach,09850,1996,"",King's Lynn and West Norfolk,"",England,567020,340600,52.936821736507,0.483787390916709,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh1304-09900,Hunstanton (Old Hunstanton),09900,1988,"",King's Lynn and West Norfolk,"",England,567800,342500,52.953642084641,0.496364280806723,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh1305-10000,Wells,10000,1988,"",North Norfolk,Norfolk,England,591400,345600,52.973582594339,0.849053394593845,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh1305-10100,Sheringham,10100,1988,"",North Norfolk,Norfolk,England,615665,343545,52.9459370506713,1.20848053319422,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1305-10125,West Runton,10125,2016,"",North Norfolk,Norfolk,England,618660,343207,52.9416822075366,1.25276663199985,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1305-10150,East Runton,10150,2010,"",North Norfolk,Norfolk,England,620242,342763,52.9370619292274,1.27595332448127,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1305-10200,Cromer,10200,1988,"",North Norfolk,Norfolk,England,622025,342339,52.93251241605058,1.302162611388792,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1305-10300,Mundesley,10300,1988,"",North Norfolk,Norfolk,England,631700,336600,52.8769429465284,1.44174118339281,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1305-10310,Sea Palling,10310,2002,"",North Norfolk,Norfolk,England,643090,327540,52.7906397541907,1.60390398189731,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1406-10860,"River Deben Estuary, Waldringfield",10860,2023,"",East Suffolk,Suffolk,England,628561,244856,52.054919,1.332367,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1406-10900,Felixstowe North,10900,1988,"",East Suffolk,Suffolk,England,630598,234411,51.9603405905382,1.35498582937495,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1406-11000,Felixstowe South,11000,1988,"",East Suffolk,Suffolk,England,629700,233700,51.9543304067933,1.34146436108153,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1407-10750,Lowestoft (North of Claremont Pier),10750,1998,"",East Suffolk,Suffolk,England,654718,292204,52.4683066878659,1.74874459923372,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh1407-10800,Lowestoft (South of Claremont Pier),10800,1988,"",East Suffolk,Suffolk,England,654500,291700,52.4638869856628,1.74515820945775,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1407-10830,Southwold The Pier,10830,2000,"",East Suffolk,Suffolk,England,651300,276700,52.3307965572847,1.68690961295553,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh1407-10850,Southwold The Denes,10850,1990,"",East Suffolk,Suffolk,England,650800,275400,52.3193619673795,1.67861883167939,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3100-11770,Shoebury East,11770,1989,"",Southend-on-Sea,"",England,594570,185150,51.5317329719537,0.803799899937665,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3100-11780,Shoeburyness,11780,2001,"",Southend-on-Sea,"",England,592550,184100,51.5229949803703,0.774140048920002,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3100-11800,Southend Thorpe Bay,11800,1988,"",Southend-on-Sea,"",England,591100,184700,51.5288756695968,0.753590049532803,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3100-11830,Southend Jubilee,11830,2003,"",Southend-on-Sea,"",England,589000,184500,51.5277856278895,0.72324513291852,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3100-11850,Southend Three Shells,11850,2001,"",Southend-on-Sea,"",England,588200,185050,51.5329923298627,0.712019813260905,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3100-11900,Southend Westcliff Bay,11900,1988,"",Southend-on-Sea,"",England,586450,185250,51.5353687855912,0.686924507608679,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3100-11902,Southend Chalkwell,11902,2003,"",Southend-on-Sea,"",England,585470,185440,51.5373978362018,0.67291096820191,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3100-11904,Leigh Bell Wharf,11904,2003,"",Southend-on-Sea,"",England,584050,185570,51.5390298429933,0.652527405156226,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3306-11750,West Mersea,11750,1991,"",Colchester,"",England,602270,212030,51.7703990868537,0.930194910705001,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3311-11100,Dovercourt,11100,1988,"",Tendring,"",England,625170,230640,51.9287145174992,1.27365363707728,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3311-11250,Walton,11250,1988,"",Tendring,"",England,625550,221560,51.8470573070425,1.27323924082661,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3311-11300,Frinton,11300,1988,"",Tendring,"",England,623928,219342,51.8277889573572,1.24830941766983,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3311-11350,Holland,11350,1988,"",Tendring,"",England,622450,217650,51.8132012147031,1.22579854706484,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3311-11500,Clacton,11500,1988,"",Tendring,"",England,618790,215250,51.7930992766385,1.17127582820326,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3311-11550,Clacton (Groyne 41),11550,1995,2020,Tendring,"",England,617600,214300,51.785,1.1535,2019-05-01,2019-09-30,false,Anglian Water Services Limited,"",""
ukh3311-11600,Jaywick,11600,1988,"",Tendring,"",England,614850,212800,51.772629737974,1.1127180240145,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
ukh3311-11650,Clacton Beach Martello Tower,11650,2005,"",Tendring,"",England,616700,213700,51.7799970257233,1.14005075867046,2023-05-01,2023-09-30,true,Anglian Water Services Limited,"",""
ukh3311-11700,Brightlingsea,11700,1988,"",Tendring,"",England,607647,216182,51.8057114363672,1.01049496166788,2023-05-01,2023-09-30,false,Anglian Water Services Limited,"",""
uki1101-11910,Hampstead Heath (Ladies Pond),11910,1998,"",City and County of the City of London,Greater London Authority,England,527620,186920,51.5667313295976,-0.160132015758681,2023-05-01,2023-09-30,false,Thames Water Utilities Limited,"",""
uki1101-11920,Hampstead Heath (Mens Pond),11920,1998,"",City and County of the City of London,Greater London Authority,England,527870,186550,51.5633496709908,-0.156661551621384,2023-05-01,2023-09-30,false,Thames Water Utilities Limited,"",""
uki1101-11930,Hampstead Heath (Mixed Pond),11930,1998,"",City and County of the City of London,Greater London Authority,England,527210,186240,51.5607128839653,-0.166289996763097,2023-05-01,2023-09-30,false,Thames Water Utilities Limited,"",""
uki1106-11940,The Serpentine - Hyde Park,11940,1998,"",City of Westminster,Greater London Authority,England,527170,180030,51.5049137923283,-0.169107214526447,2023-05-01,2023-09-30,false,Thames Water Utilities Limited,"",""
ukj2100-14900,Brighton Kemptown,14900,1988,"",The City of Brighton and Hove,"",England,532384,103503,50.8159631965402,-0.122161894870468,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2100-14950,Brighton Central,14950,2007,"",The City of Brighton and Hove,"",England,530701,103940,50.8202727622679,-0.145883429349536,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2201-14400,Pevensey Bay,14400,1988,"",Wealden,East Sussex,England,565687,103791,50.8099898313679,0.35032872068549,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2201-14500,Eastbourne,14500,1988,"",Eastbourne,East Sussex,England,561400,98200,50.7609618329818,0.287079793834733,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2201-14550,Birling Gap,14550,1998,"",Wealden,East Sussex,England,555367,95973,50.7425953434466,0.200669020232404,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2202-14100,Hastings Pelham Beach,14100,1988,"",Hastings,East Sussex,England,582102,109189,50.8535481295427,0.585766467133833,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2202-14150,St Leonards,14150,1996,"",Hastings,East Sussex,England,579700,108700,50.8499165351249,0.551426690368772,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2203-14600,Seaford,14600,1988,"",Lewes,East Sussex,England,547820,98950,50.7713170807392,0.0949765065444564,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2204-13900,Camber,13900,1988,"",Rother,East Sussex,England,596586,118585,50.9332136638357,0.796331258712508,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2204-14000,Winchelsea,14000,1988,"",Rother,East Sussex,England,591200,115400,50.9064145037592,0.718105662124692,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2205-14200,Bexhill,14200,1988,"",Rother,East Sussex,England,574042,107018,50.8365338778057,0.470332162386613,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2205-14300,Norman`s Bay,14300,1988,"",Rother,East Sussex,England,568200,105300,50.8228241604064,0.386655849632203,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2401-15100,Southwick,15100,1988,"",Adur,West Sussex,England,524358,104728,50.8287511053224,-0.235618077916229,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2401-15200,Shoreham Beach,15200,2014,"",Adur,West Sussex,England,521848,104429,50.8265866683731,-0.2713284100911,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2401-15300,"Lancing, Beach Green",15300,1988,"",Adur,West Sussex,England,518300,103600,50.8198803418111,-0.321958811608509,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2402-15500,Littlehampton,15500,1988,"",Arun,West Sussex,England,503060,101320,50.8022939014127,-0.538868986381269,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2402-15600,Middleton-on-sea,15600,1988,"",Arun,West Sussex,England,498500,99900,50.7902,-0.6039,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2402-15650,Felpham,15650,1996,"",Arun,West Sussex,England,495080,99390,50.7863058760123,-0.652576069939417,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2402-15680,Bognor Regis East,15680,1999,"",Arun,West Sussex,England,493900,98930,50.7823624879439,-0.669428029479676,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2402-15700,Bognor Regis (Aldwick),15700,1988,"",Arun,West Sussex,England,492360,98557,50.7792561643122,-0.691360026250996,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj2402-15800,Pagham,15800,1988,"",Arun,West Sussex,England,489200,97200,50.7675502319918,-0.736497732795299,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2403-15900,Selsey,15900,1988,"",Chichester,West Sussex,England,486872,93686,50.7363102526785,-0.770329030240902,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2403-16000,Bracklesham Bay,16000,1988,"",Chichester,West Sussex,England,480462,96331,50.7610131736483,-0.860567028233181,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj2403-16100,West Wittering,16100,1988,"",Chichester,West Sussex,England,476800,98000,50.776514594016,-0.912129642146413,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3100-16500,Eastney,16500,1988,"",City of Portsmouth,"",England,467410,98774,50.7846394489991,-1.04514441363308,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3100-16600,Southsea East,16600,1988,"",City of Portsmouth,"",England,465000,98080,50.7786645150506,-1.07943783420055,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3307-16350,Beachlands Central,16350,1998,"",Havant,"",England,471350,98710,50.7835933373875,-0.989275631087487,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3307-16400,Beachlands West,16400,1988,"",Havant,"",England,470500,98700,50.7836072294375,-1.00133285633792,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3308-16900,Calshot,16900,1988,"",New Forest,Hampshire,England,448138,101306,50.8093235327237,-1.31816830680352,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3400-17400,Compton Bay,17400,1988,"",Isle of Wight,"",England,437681,84179,50.6560855499202,-1.46831923617904,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3400-17600,Colwell Bay,17600,1988,"",Isle of Wight,"",England,432699,87859,50.6894777728459,-1.5384702684968,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj3400-17800,Cowes,17800,1988,"",Isle of Wight,"",England,448800,96700,50.7678515410396,-1.30938364395512,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj3400-17850,East Cowes,17850,2022,"",Isle of Wight,"",England,450642,96377,50.76477,-1.28329,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj3400-18200,Bembridge,18200,1988,"",Isle of Wight,"",England,465817,87808,50.686221830107,-1.0696931248814,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj4202-12100,"West Beach, Whitstable",12100,1988,"",Canterbury,Kent,England,609800,166000,51.3543349703393,1.01172153066364,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4202-12120,Tankerton,12120,2007,"",Canterbury,Kent,England,612120,167333,51.3654432940843,1.04578516539971,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj4202-12150,Herne Bay Central,12150,1999,"",Canterbury,Kent,England,617150,168280,51.3720466073964,1.11850745016388,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj4202-12200,Herne Bay,12200,1988,"",Canterbury,Kent,England,618600,168600,51.3743637332956,1.13950355047236,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukj4204-13000,Sandwich Bay,13000,1988,"",Dover,Kent,England,635778,159142,51.2826015238971,1.37962358666148,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4204-13100,Deal Castle,13100,1988,"",Dover,Kent,England,637837,152805,51.2248658248295,1.40488530923027,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4204-13200,St Margaret`s Bay,13200,1988,"",Dover,Kent,England,636878,144490,51.1506270756334,1.38569756652105,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4208-13600,Dymchurch,13600,1988,"",Shepway,Kent,England,610240,129300,51.0246230758988,0.996565672336776,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4210-12660,"Botany Bay, Broadstairs",12660,1997,"",Thanet,Kent,England,639100,171200,51.3894456556124,1.43525760038043,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4210-12750,"Broadstairs, Stone Bay",12750,1997,"",Thanet,Kent,England,639923,168564,51.3654395136107,1.44528543183743,2023-05-01,2023-09-30,false,Southern Water Services Limited,"",""
ukj4210-12800,"Broadstairs, Viking Bay",12800,1988,"",Thanet,Kent,England,639800,167700,51.3577366427204,1.44293976929626,2023-05-01,2023-09-30,true,Southern Water Services Limited,"",""
ukk1100-36050,Henleaze Lake,36050,2014,"",City of Bristol,"",England,358047,177472,51.4946241931076,-2.60570469108093,2023-05-01,2023-09-30,false,Wessex Water Services Limited,"",""
ukk1202-36000,Clevedon Beach,36000,1988,"",North Somerset,"",England,340224,171824,51.44224,-2.86146,2023-05-01,2023-09-30,true,Wessex Water Services Limited,"",""
